t	Theta Leapfrog	Energy 
1.76	-0.00592629	0.00347403
1.77	-0.00675618	0.00346074
1.78	-0.0075847	0.00344653
1.79	-0.00840973	0.00343339
1.8	-0.00923347	0.00341935
1.81	-0.0100533	0.00340637
1.82	-0.010872	0.00339251
1.83	-0.0116863	0.0033797
1.84	-0.0124996	0.00336602
1.85	-0.0133082	0.00335339
1.86	-0.0141157	0.00333991
1.87	-0.0149182	0.00332746
1.88	-0.0157197	0.00331418
1.89	-0.0165158	0.00330193
1.9	-0.0173111	0.00328886
1.91	-0.0181005	0.00327681
1.92	-0.0188892	0.00326397
1.93	-0.0196717	0.00325212
1.94	-0.0204535	0.0032395
1.95	-0.0212287	0.00322787
1.96	-0.0220033	0.00321549
1.97	-0.022771	0.00320408
1.98	-0.0235382	0.00319194
1.99	-0.024298	0.00318075
2	-0.0250576	0.00316886
2.01	-0.0258093	0.0031579
2.02	-0.0265608	0.00314627
2.03	-0.0273043	0.00313555
2.04	-0.0280475	0.00312418
2.05	-0.0287823	0.00311369
2.06	-0.0295171	0.00310259
2.07	-0.030243	0.00309235
2.08	-0.030969	0.00308152
2.09	-0.0316858	0.00307152
2.1	-0.0324027	0.00306097
2.11	-0.0331101	0.00305123
2.12	-0.0338178	0.00304095
2.13	-0.0345156	0.00303146
2.14	-0.0352138	0.00302147
2.15	-0.0359016	0.00301224
2.16	-0.0365901	0.00300254
2.17	-0.0372678	0.00299357
2.18	-0.0379463	0.00298416
2.19	-0.0386137	0.00297544
2.2	-0.0392819	0.00296633
2.21	-0.0399388	0.00295787
2.22	-0.0405965	0.00294905
2.23	-0.0412426	0.00294086
2.24	-0.0418897	0.00293234
2.25	-0.0425248	0.00292441
2.26	-0.043161	0.00291619
2.27	-0.0437849	0.00290852
2.28	-0.04441	0.0029006
2.29	-0.0450225	0.0028932
2.3	-0.0456363	0.00288557
2.31	-0.0462371	0.00287843
2.32	-0.0468394	0.00287111
2.33	-0.0474285	0.00286423
2.34	-0.0480191	0.0028572
2.35	-0.0485961	0.00285058
2.36	-0.0491749	0.00284385
2.37	-0.0497397	0.00283749
2.38	-0.0503064	0.00283106
2.39	-0.0508589	0.00282495
2.4	-0.0514134	0.00281882
2.41	-0.0519533	0.00281296
2.42	-0.0524953	0.00280712
2.43	-0.0530226	0.00280152
2.44	-0.0535521	0.00279596
2.45	-0.0540664	0.00279061
2.46	-0.0545832	0.00278534
2.47	-0.0550846	0.00278023
2.48	-0.0555884	0.00277525
2.49	-0.0560766	0.00277038
2.5	-0.0565674	0.00276567
2.51	-0.0570423	0.00276104
2.52	-0.0575199	0.00275661
2.53	-0.0579814	0.00275221
2.54	-0.0584457	0.00274805
2.55	-0.0588936	0.00274388
2.56	-0.0593444	0.00273998
2.57	-0.0597786	0.00273603
2.58	-0.0602159	0.0027324
2.59	-0.0606362	0.00272867
2.6	-0.0610598	0.00272528
2.61	-0.0614662	0.00272177
2.62	-0.061876	0.00271863
2.63	-0.0622684	0.00271532
2.64	-0.0626643	0.00271243
2.65	-0.0630425	0.00270932
2.66	-0.0634243	0.00270666
2.67	-0.0637883	0.00270374
2.68	-0.0641561	0.00270131
2.69	-0.0645057	0.00269859
2.7	-0.0648592	0.00269638
2.71	-0.0651945	0.00269383
2.72	-0.0655337	0.00269184
2.73	-0.0658545	0.00268946
2.74	-0.0661794	0.00268768
2.75	-0.0664856	0.00268547
2.76	-0.066796	0.00268388
2.77	-0.0670876	0.00268184
2.78	-0.0673835	0.00268044
2.79	-0.0676604	0.00267855
2.8	-0.0679418	0.00267733
2.81	-0.068204	0.00267558
2.82	-0.0684707	0.00267454
2.83	-0.0687181	0.00267293
2.84	-0.0689702	0.00267205
2.85	-0.0692027	0.00267057
2.86	-0.0694401	0.00266985
2.87	-0.0696578	0.00266849
2.88	-0.0698805	0.00266792
2.89	-0.0700833	0.00266667
2.9	-0.0702912	0.00266624
2.91	-0.0704791	0.0026651
2.92	-0.0706722	0.00266479
2.93	-0.0708452	0.00266375
2.94	-0.0710234	0.00266356
2.95	-0.0711815	0.00266261
2.96	-0.0713449	0.00266253
2.97	-0.0714881	0.00266167
2.98	-0.0716367	0.00266169
2.99	-0.0717649	0.00266089
3	-0.0718987	0.00266101
3.01	-0.0720119	0.00266028
3.02	-0.0721309	0.00266047
3.03	-0.0722293	0.0026598
3.04	-0.0723334	0.00266006
3.05	-0.0724169	0.00265944
3.06	-0.0725062	0.00265977
3.07	-0.0725748	0.00265918
3.08	-0.0726494	0.00265957
3.09	-0.0727032	0.00265902
3.1	-0.0727631	0.00265944
3.11	-0.072802	0.00265891
3.12	-0.0728472	0.00265937
3.13	-0.0728714	0.00265886
3.14	-0.0729019	0.00265934
3.15	-0.0729114	0.00265884
3.16	-0.0729273	0.00265934
3.17	-0.0729221	0.00265884
3.18	-0.0729234	0.00265934
3.19	-0.0729037	0.00265883
3.2	-0.0728905	0.00265933
3.21	-0.0728563	0.00265881
3.22	-0.0728286	0.00265929
3.23	-0.0727799	0.00265875
3.24	-0.0727379	0.00265921
3.25	-0.0726748	0.00265863
3.26	-0.0726185	0.00265906
3.27	-0.0725411	0.00265845
3.28	-0.0724706	0.00265884
3.29	-0.072379	0.00265819
3.3	-0.0722944	0.00265853
3.31	-0.0721887	0.00265783
3.32	-0.0720899	0.00265811
3.33	-0.0719703	0.00265735
3.34	-0.0718576	0.00265757
3.35	-0.071724	0.00265674
3.36	-0.0715975	0.00265689
3.37	-0.0714501	0.002656
3.38	-0.0713098	0.00265606
3.39	-0.0711487	0.00265509
3.4	-0.0709948	0.00265506
3.41	-0.0708202	0.00265401
3.42	-0.0706527	0.00265389
3.43	-0.0704646	0.00265275
3.44	-0.0702838	0.00265253
3.45	-0.0700824	0.00265129
3.46	-0.0698883	0.00265096
3.47	-0.0696738	0.00264962
3.48	-0.0694665	0.00264917
3.49	-0.0692389	0.00264774
3.5	-0.0690187	0.00264716
3.51	-0.0687781	0.00264562
3.52	-0.0685451	0.00264491
3.53	-0.0682918	0.00264325
3.54	-0.068046	0.00264242
3.55	-0.0677801	0.00264064
3.56	-0.0675217	0.00263966
3.57	-0.0672434	0.00263776
3.58	-0.0669726	0.00263664
3.59	-0.0666819	0.00263462
3.6	-0.0663989	0.00263334
3.61	-0.0660962	0.00263119
3.62	-0.065801	0.00262976
3.63	-0.0654863	0.00262748
3.64	-0.0651792	0.00262589
3.65	-0.0648528	0.00262347
3.66	-0.0645339	0.00262172
3.67	-0.0641959	0.00261916
3.68	-0.0638654	0.00261724
3.69	-0.063516	0.00261454
3.7	-0.0631741	0.00261245
3.71	-0.0628134	0.00260961
3.72	-0.0624603	0.00260735
3.73	-0.0620886	0.00260437
3.74	-0.0617245	0.00260193
3.75	-0.0613419	0.0025988
3.76	-0.0609669	0.00259618
3.77	-0.0605737	0.00259291
3.78	-0.060188	0.0025901
3.79	-0.0597843	0.00258668
3.8	-0.0593882	0.0025837
3.81	-0.0589743	0.00258013
3.82	-0.0585679	0.00257696
3.83	-0.0581439	0.00257324
3.84	-0.0577275	0.00256989
3.85	-0.0572937	0.00256602
3.86	-0.0568674	0.00256248
3.87	-0.0564239	0.00255846
3.88	-0.055988	0.00255474
3.89	-0.0555352	0.00255057
3.9	-0.0550898	0.00254666
3.91	-0.0546278	0.00254235
3.92	-0.0541731	0.00253825
3.93	-0.0537022	0.00253379
3.94	-0.0532385	0.00252951
3.95	-0.0527589	0.0025249
3.96	-0.0522864	0.00252043
3.97	-0.0517982	0.00251568
3.98	-0.0513172	0.00251103
3.99	-0.0508208	0.00250613
4	-0.0503314	0.0025013
4.01	-0.0498269	0.00249627
4.02	-0.0493295	0.00249125
4.03	-0.0488171	0.00248608
4.04	-0.0483118	0.00248089
4.05	-0.0477919	0.00247558
4.06	-0.047279	0.00247021
4.07	-0.0467517	0.00246476
4.08	-0.0462313	0.00245923
4.09	-0.045697	0.00245365
4.1	-0.0451694	0.00244794
4.11	-0.0446282	0.00244223
4.12	-0.0440937	0.00243636
4.13	-0.0435459	0.00243053
4.14	-0.0430047	0.00242449
4.15	-0.0424505	0.00241854
4.16	-0.0419029	0.00241234
4.17	-0.0413426	0.00240627
4.18	-0.0407888	0.00239992
4.19	-0.0402226	0.00239374
4.2	-0.0396628	0.00238723
4.21	-0.039091	0.00238094
4.22	-0.0385254	0.00237429
4.23	-0.0379483	0.00236789
4.24	-0.0373773	0.0023611
4.25	-0.036795	0.0023546
4.26	-0.0362188	0.00234767
4.27	-0.0356316	0.00234107
4.28	-0.0350504	0.00233401
4.29	-0.0344587	0.00232732
4.3	-0.0338728	0.00232014
4.31	-0.0332767	0.00231336
4.32	-0.0326863	0.00230605
4.33	-0.0320861	0.00229919
4.34	-0.0314915	0.00229177
4.35	-0.0308875	0.00228483
4.36	-0.0302889	0.0022773
4.37	-0.0296813	0.00227029
4.38	-0.029079	0.00226265
4.39	-0.0284681	0.00225557
4.4	-0.0278623	0.00224784
4.41	-0.0272483	0.0022407
4.42	-0.0266394	0.00223288
4.43	-0.0260226	0.00222568
4.44	-0.0254107	0.00221778
4.45	-0.0247913	0.00221053
4.46	-0.0241768	0.00220255
4.47	-0.0235551	0.00219525
4.48	-0.0229381	0.0021872
4.49	-0.0223144	0.00217986
4.5	-0.0216953	0.00217175
4.51	-0.0210698	0.00216438
4.52	-0.0204487	0.0021562
4.53	-0.0198217	0.00214881
4.54	-0.0191989	0.00214058
4.55	-0.0185707	0.00213316
4.56	-0.0179465	0.00212489
4.57	-0.0173173	0.00211745
4.58	-0.0166919	0.00210915
4.59	-0.016062	0.0021017
4.6	-0.0154357	0.00209336
4.61	-0.0148052	0.00208591
4.62	-0.0141783	0.00207755
4.63	-0.0135476	0.00207009
4.64	-0.0129202	0.00206172
4.65	-0.0122896	0.00205427
4.66	-0.0116621	0.00204589
4.67	-0.0110317	0.00203845
