t	Theta Leapfrog	Energy 
287	-0.1	408.985
288	-28.7	1.91576
289	0.1	414.725
290	28.9	1.81557
291	-0.1	420.505
292	-29.1	1.68307
293	0.1	426.325
294	29.3	1.52353
295	-0.1	432.185
296	-29.5	1.34332
297	0.1	438.085
298	29.7	1.14962
299	-0.1	444.025
300	-29.9	0.950158
301	0.1	450.005
302	30.1	0.752881
303	-0.1	456.025
304	-30.3	0.565655
305	0.1	462.085
306	30.5	0.395944
307	-0.1	468.185
308	-30.7	0.250515
309	0.1	474.325
310	30.9	0.135164
311	-0.1	480.505
312	-31.1	0.0544911
313	0.1	486.725
314	31.3	0.011712
315	-0.1	492.985
316	-31.5	0.00853209
317	0.1	499.285
318	31.7	0.0450783
319	-0.1	505.625
320	-31.9	0.119893
321	0.1	512.005
322	32.1	0.229995
323	-0.1	518.425
324	-32.3	0.370994
325	0.1	524.885
326	32.5	0.537268
327	-0.1	531.385
328	-32.7	0.72219
329	0.1	537.925
330	32.9	0.918386
331	-0.1	544.505
332	-33.1	1.11804
333	0.1	551.125
334	33.3	1.31318
335	-0.1	557.785
336	-33.5	1.49603
337	0.1	564.485
338	33.7	1.65932
339	-0.1	571.225
340	-33.9	1.79651
341	0.1	578.005
342	34.1	1.90215
343	-0.1	584.825
344	-34.3	1.97202
345	0.1	591.685
346	34.5	2.00335
347	-0.1	598.585
348	-34.7	1.99487
349	0.1	605.525
350	34.9	1.94692
351	-0.1	612.505
352	-35.1	1.86143
353	0.1	619.525
354	35.3	1.74179
355	-0.1	626.585
356	-35.5	1.59278
357	0.1	633.685
358	35.7	1.42034
359	-0.1	640.825
360	-35.9	1.23134
361	0.1	648.005
362	36.1	1.03331
363	-0.1	655.225
364	-36.3	0.834158
365	0.1	662.485
366	36.5	0.641815
367	-0.1	669.785
368	-36.7	0.463951
369	0.1	677.125
370	36.9	0.307656
371	-0.1	684.505
372	-37.1	0.179163
373	0.1	691.925
374	37.3	0.0835935
375	-0.1	699.385
376	-37.5	0.0247574
377	0.1	706.885
378	37.7	0.00500039
379	-0.1	714.425
380	-37.9	0.0251103
381	0.1	722.005
382	38.1	0.0842852
383	-0.1	729.625
384	-38.3	0.180166
385	0.1	737.285
386	38.5	0.308931
387	-0.1	744.985
388	-38.7	0.465445
389	0.1	752.725
390	38.9	0.64347
