t	Theta RK	Energy 
35	-0.0903819	0.00499645
35.2	-0.0800827	0.00499751
35.4	-0.0665908	0.0049984
35.6	-0.0504444	0.00499894
35.8	-0.0322869	0.00499916
36	-0.0128423	0.0049992
36.2	0.00711428	0.0049992
36.4	0.0267872	0.00499917
36.6	0.0453922	0.00499901
36.8	0.0621876	0.00499856
37	0.0765038	0.00499775
37.2	0.0877702	0.00499671
37.4	0.0955375	0.0049957
37.6	0.0994961	0.00499509
37.8	0.0994882	0.00499508
38	0.0955141	0.00499569
38.2	0.0877323	0.00499669
38.4	0.076453	0.00499773
38.6	0.0621259	0.00499853
38.8	0.045322	0.00499897
39	0.0267114	0.00499912
39.2	0.00703591	0.00499913
39.4	-0.01292	0.00499913
39.6	-0.0323609	0.00499908
39.8	-0.0505117	0.00499885
40	-0.0666487	0.00499829
40.2	-0.0801288	0.00499739
40.4	-0.0904144	0.00499632
40.6	-0.0970956	0.0049954
40.8	-0.099906	0.00499495
41	-0.0987335	0.00499514
41.2	-0.093625	0.00499589
41.4	-0.084784	0.00499693
41.6	-0.0725631	0.00499793
41.8	-0.0574494	0.00499862
42	-0.0400454	0.00499896
42.2	-0.021045	0.00499906
42.4	-0.00120567	0.00499906
42.6	0.0186817	0.00499905
42.8	0.0378243	0.00499897
43	0.055459	0.00499866
43.2	0.0708828	0.00499799
43.4	0.0834808	0.00499702
43.6	0.0927507	0.00499595
43.8	0.098323	0.00499514
44	0.0999756	0.00499487
44.2	0.0976426	0.00499524
44.4	0.091417	0.00499611
44.6	0.081547	0.00499717
44.8	0.0684261	0.0049981
45	0.0525773	0.00499869
45.2	0.0346325	0.00499894
45.4	0.015307	0.00499899
45.6	-0.0046286	0.00499899
45.8	-0.0243797	0.00499897
46	-0.0431589	0.00499884
46.2	-0.0602175	0.00499843
46.4	-0.0748754	0.00499766
46.6	-0.0865484	0.00499663
46.8	-0.0947711	0.00499561
47	-0.0992156	0.00499492
47.2	-0.0997048	0.00499484
47.4	-0.0962192	0.00499538
47.6	-0.0888977	0.00499635
47.8	-0.0780323	0.0049974
48	-0.0640561	0.00499824
48.2	-0.0475262	0.00499872
48.4	-0.0291017	0.0049989
48.6	-0.00951704	0.00499893
48.8	0.010447	0.00499892
49	0.0299946	0.00499888
49.2	0.0483464	0.00499868
49.4	0.0647708	0.00499817
49.6	0.078613	0.00499731
49.8	0.0893213	0.00499625
50	0.0964687	0.00499529
50.2	0.0997703	0.00499476
50.4	0.0990944	0.00499487
50.6	0.0944681	0.00499556
50.8	0.0860758	0.00499659
51	0.074252	0.00499761
51.2	0.059468	0.00499835
51.4	0.0423134	0.00499873
51.6	0.0234719	0.00499885
51.8	0.0036947	0.00499885
52	-0.0162298	0.00499885
52.2	-0.0355072	0.00499878
52.4	-0.0533691	0.0049985
52.6	-0.0691034	0.00499789
52.8	-0.0820828	0.00499694
53	-0.0917899	0.00499587
53.2	-0.0978377	0.00499501
53.4	-0.0999852	0.00499466
53.6	-0.0981466	0.00499495
53.8	-0.0923954	0.00499577
54	-0.0829607	0.00499683
54.2	-0.0702188	0.00499779
54.4	-0.0546775	0.00499842
54.6	-0.0369565	0.00499872
54.8	-0.0177622	0.00499878
55	0.00214014	0.00499878
55.2	0.0219572	0.00499877
55.4	0.0408989	0.00499866
55.6	0.0582101	0.00499829
55.8	0.0732007	0.00499757
56	0.085273	0.00499656
56.2	0.0939459	0.00499551
56.4	0.0988736	0.00499477
56.6	0.0998596	0.00499461
56.8	0.0968646	0.00499508
57	0.090008	0.00499601
57.2	0.0795632	0.00499707
57.4	0.0659465	0.00499794
57.6	0.0497009	0.00499847
57.8	0.0314739	0.00499868
58	0.0119922	0.00499872
58.2	-0.00796761	0.00499871
58.4	-0.0276097	0.00499868
58.6	-0.0461512	0.00499852
58.8	-0.0628527	0.00499805
59	-0.0770486	0.00499723
59.2	-0.0881728	0.00499617
59.4	-0.095782	0.00499518
59.6	-0.0995727	0.00499459
59.8	-0.0993939	0.00499461
60	-0.0952527	0.00499524
60.2	-0.0873141	0.00499625
60.4	-0.0758947	0.00499728
60.6	-0.0614497	0.00499807
60.8	-0.044555	0.00499849
61	-0.0258841	0.00499863
61.2	-0.00618133	0.00499865
61.4	0.0137679	0.00499864
61.6	0.0331682	0.00499859
61.8	0.0512462	0.00499835
62	0.0672812	0.00499778
62.2	0.080634	0.00499686
62.4	0.0907723	0.00499579
62.6	0.0972918	0.00499488
62.8	0.0999327	0.00499446
63	0.0985897	0.00499467
63.2	0.0933164	0.00499544
63.4	0.0843229	0.00499649
63.6	0.0719679	0.00499748
63.8	0.0567438	0.00499816
64	0.0392575	0.00499849
64.2	0.0202063	0.00499857
64.4	0.000349533	0.00499858
64.6	-0.0195212	0.00499857
64.8	-0.0386136	0.00499847
65	-0.0561667	0.00499815
65.2	-0.0714806	0.00499747
65.4	-0.0839449	0.00499649
65.6	-0.0930626	0.00499543
65.8	-0.0984703	0.00499463
66	-0.0999524	0.00499438
66.2	-0.0974499	0.00499478
66.4	-0.0910624	0.00499567
66.6	-0.0810446	0.00499673
66.8	-0.067796	0.00499764
67	-0.0518446	0.00499822
67.2	-0.0338264	0.00499846
67.4	-0.0144597	0.00499851
67.6	0.00548337	0.00499851
67.8	0.0252079	0.00499848
68	0.0439274	0.00499834
68.2	0.0608958	0.00499792
68.4	0.0754364	0.00499714
68.6	0.0869697	0.0049961
68.8	0.0950359	0.00499508
69	0.0993134	0.00499442
69.2	0.0996317	0.00499437
69.4	0.0959781	0.00499493
69.6	0.0884983	0.00499591
69.8	0.0774904	0.00499695
70	0.0633933	0.00499778
70.2	0.046769	0.00499825
70.4	0.0282802	0.00499842
70.6	0.00866403	0.00499844
70.8	-0.0112975	0.00499843
71	-0.0308087	0.00499839
71.2	-0.0490916	0.00499818
71.4	-0.0654174	0.00499766
71.6	-0.0791353	0.00499678
71.8	-0.0896984	0.00499572
72	-0.0966856	0.00499477
72.2	-0.0998183	0.00499427
72.4	-0.0989717	0.0049944
72.6	-0.0941795	0.00499512
72.8	-0.0856328	0.00499615
73	-0.0736723	0.00499716
73.2	-0.0587747	0.00499788
73.4	-0.0415341	0.00499825
73.6	-0.0226377	0.00499836
73.8	-0.00283889	0.00499837
74	0.0170731	0.00499836
74.2	0.0363045	0.00499829
74.4	0.0540885	0.004998
74.6	0.0697162	0.00499737
74.8	0.0825647	0.00499641
75	0.0921216	0.00499534
75.2	0.098006	0.00499449
75.4	0.0999833	0.00499417
75.6	0.0979747	0.00499449
75.8	0.0920603	0.00499533
76	0.0824758	0.00499639
76.2	0.0696033	0.00499734
76.4	0.0539561	0.00499796
76.6	0.0361579	0.00499824
76.8	0.0169183	0.0049983
77	-0.00299584	0.0049983
77.2	-0.0227905	0.00499828
77.4	-0.0416766	0.00499816
77.6	-0.0589011	0.00499778
77.8	-0.0737776	0.00499705
78	-0.0857128	0.00499603
78.2	-0.094231	0.00499499
78.4	-0.0989926	0.00499427
78.6	-0.0998078	0.00499413
78.8	-0.096644	0.00499462
79	-0.0896275	0.00499557
79.2	-0.0790379	0.00499662
79.4	-0.0652974	0.00499749
79.6	-0.0489538	0.004998
79.8	-0.0306586	0.0049982
80	-0.0111413	0.00499823
80.2	0.00882028	0.00499823
80.4	0.0284302	0.0049982
80.6	0.0469066	0.00499802
80.8	0.0635131	0.00499754
81	0.0775876	0.0049967
81.2	0.088569	0.00499564
81.4	0.0960195	0.00499466
81.6	0.0996421	0.00499409
81.8	0.0992923	0.00499414
82	0.0949842	0.0049948
82.2	0.0868895	0.00499581
82.4	0.0753309	0.00499684
82.6	0.0607692	0.00499761
82.8	0.0437849	0.00499802
83	0.025055	0.00499815
83.2	0.00532638	0.00499816
83.4	-0.0146146	0.00499815
83.6	-0.0339729	0.0049981
83.8	-0.0519769	0.00499784
84	-0.0679087	0.00499726
84.2	-0.0811333	0.00499633
84.4	-0.0911235	0.00499526
84.6	-0.0974809	0.00499437
84.8	-0.0999522	0.00499397
85	-0.0984388	0.00499421
85.2	-0.093001	0.004995
85.4	-0.0838557	0.00499605
85.6	-0.0713675	0.00499703
85.8	-0.0560341	0.00499769
86	-0.0384669	0.00499801
86.2	-0.0193662	0.00499809
86.4	0.000506545	0.00499809
86.6	0.0203591	0.00499808
86.8	0.0393999	0.00499798
87	0.0568701	0.00499764
87.2	0.072073	0.00499695
87.4	0.0844027	0.00499595
87.6	0.0933676	0.0049949
87.8	0.0986104	0.00499412
88	0.0999219	0.0049939
88.2	0.09725	0.00499432
88.4	0.0907011	0.00499523
88.6	0.0805364	0.00499629
88.8	0.067161	0.00499719
89	0.0511082	0.00499775
89.2	0.033018	0.00499798
89.4	0.0136115	0.00499802
89.6	-0.00633766	0.00499802
89.8	-0.0260341	0.004998
90	-0.0446927	0.00499784
90.2	-0.0615695	0.00499741
90.4	-0.0759918	0.00499661
90.6	-0.0873847	0.00499557
90.8	-0.0952938	0.00499456
91	-0.099404	0.00499392
91.2	-0.0995514	0.00499389
91.4	-0.09573	0.00499448
91.6	-0.0880924	0.00499547
91.8	-0.0769428	0.00499651
92	-0.0627259	0.00499732
92.2	-0.0460084	0.00499778
92.4	-0.0274567	0.00499793
92.6	-0.00781047	0.00499795
92.8	0.0121471	0.00499795
93	0.0316204	0.0049979
93.2	0.0498332	0.00499768
93.4	0.0660592	0.00499714
93.6	0.0796518	0.00499625
93.8	0.0900689	0.00499519
94	0.0968954	0.00499425
94.2	0.0998591	0.00499378
94.4	0.0988418	0.00499394
94.6	0.0938841	0.00499467
94.8	0.0851836	0.00499571
95	0.0730873	0.00499671
95.2	0.0580772	0.00499742
95.4	0.0407519	0.00499778
95.6	0.021802	0.00499788
95.8	0.00198296	0.00499788
96	-0.0179151	0.00499787
96.2	-0.037099	0.00499779
96.4	-0.0548038	0.00499749
96.6	-0.0703239	0.00499685
96.8	-0.0830404	0.00499588
97	-0.0924465	0.00499481
97.2	-0.098167	0.00499398
97.4	-0.0999741	0.00499369
97.6	-0.0977956	0.00499403
97.8	-0.0917184	0.00499489
98	-0.0819848	0.00499595
98.2	-0.0689829	0.00499689
98.4	-0.0532308	0.00499749
98.6	-0.0353567	0.00499776
98.8	-0.0160731	0.00499781
99	0.00385123	0.00499781
99.2	0.023622	0.00499779
99.4	0.0424511	0.00499767
99.6	0.0595878	0.00499727
99.8	0.074349	0.00499652
100	0.0861462	0.0049955
100.2	0.0945091	0.00499446
100.4	0.0991043	0.00499376
100.6	0.0997486	0.00499365
100.8	0.0964164	0.00499417
101	0.0892405	0.00499513
101.2	0.0785069	0.00499618
101.4	0.0646436	0.00499703
101.6	0.0482032	0.00499753
101.8	0.0298412	0.00499772
102	0.0102896	0.00499774
102.2	-0.00967221	0.00499774
102.4	-0.0292484	0.00499771
102.6	-0.0476586	0.00499752
102.8	-0.0641688	0.00499702
103	-0.0781209	0.00499617
103.2	-0.0889586	0.00499511
103.4	-0.0962499	0.00499414
103.6	-0.0997041	0.00499359
103.8	-0.0991835	0.00499367
104	-0.0947089	0.00499435
104.2	-0.0864586	0.00499537
104.4	-0.0747617	0.00499639
104.6	-0.0600843	0.00499714
104.8	-0.0430116	0.00499754
105	-0.0242242	0.00499766
105.2	-0.00447113	0.00499767
105.4	0.0154602	0.00499767
105.6	0.0347751	0.0049976
